HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, HandLeftX, HandLeftY, HandLeftZ, HandRightX, HandRightY, HandRightZ, FootLeftX, FootLeftY, FootLeftZ, FootRightX, FootRightY, FootRightZ
-0.09365434,0.9143893,1.789028,-0.2512083,0.6333436,1.570058,0.0164761,0.604425,1.81146,-0.2003318,-0.2523077,1.369529,-0.05602077,-0.4052692,1.582413,-0.3747605,0.5014613,1.369858,-0.09701575,0.8205768,1.698848,-0.1511271,0.716469,1.710118,-0.3148487,0.6302862,1.18668,0.1463854,0.8519498,1.826249,-0.1959495,-0.645286,1.217007,-0.009019263,-0.7360277,1.422901
-0.08884964,0.9141501,1.791662,-0.2471889,0.6375047,1.577567,0.01989293,0.6047462,1.816702,-0.2020625,-0.2521007,1.372354,-0.0589714,-0.4043577,1.58311,-0.3770413,0.5017037,1.385678,-0.09313519,0.8209712,1.703667,-0.1478934,0.7168417,1.71533,-0.3256246,0.6309516,1.193335,0.150258,0.8527783,1.83099,-0.1960119,-0.6448433,1.217222,0.03489372,-0.7454052,1.366032
-0.08282146,0.9121174,1.79632,-0.2437322,0.6395257,1.583477,0.02361365,0.6044321,1.820886,-0.2021532,-0.2506426,1.37486,0.0006849692,-0.2706659,1.592687,-0.3788456,0.5004059,1.389633,-0.08910523,0.8207566,1.707659,-0.1443472,0.7167493,1.719582,-0.3363652,0.6329905,1.195672,0.1542653,0.8527933,1.834934,-0.196429,-0.643865,1.217891,0.06081444,-0.6337985,1.428204
-0.07667099,0.9111089,1.800205,-0.2398624,0.6404606,1.591236,0.02950957,0.6033688,1.826155,-0.2032772,-0.2479218,1.376407,0.001192546,-0.2709021,1.592686,-0.3816747,0.4991282,1.406479,-0.0829805,0.8197955,1.71279,-0.1387837,0.7160301,1.724851,-0.3493623,0.6329836,1.205099,0.1603446,0.8520103,1.840018,-0.1967938,-0.642711,1.218847,0.05622982,-0.6203727,1.385602
-0.06409862,0.9089932,1.809369,-0.2250452,0.6349223,1.610685,0.04206137,0.6008988,1.837672,-0.2034226,-0.2430367,1.380778,0.04524296,-0.264967,1.603275,-0.3859087,0.4900865,1.469508,0.09055105,0.4429154,1.957995,-0.1259424,0.7137089,1.736836,-0.3772705,0.6325523,1.22463,0.3395859,0.4926699,2.070299,-0.1978395,-0.6385871,1.22128,-0.001786761,-0.697891,1.456728
-0.05747906,0.9065945,1.813189,-0.2211958,0.6325035,1.617633,0.04883687,0.5982059,1.843287,-0.2027159,-0.2406518,1.384042,0.04485844,-0.2671705,1.601692,-0.3860778,0.4903988,1.47007,0.102573,0.4423,1.959416,-0.1194763,0.7114178,1.742375,-0.3913525,0.6327137,1.233839,0.3872992,0.5130044,2.071158,-0.1982229,-0.6359768,1.222361,0.09098408,-0.6233823,1.410023
-0.05004688,0.9026524,1.819018,-0.2193685,0.6316369,1.620436,0.05302085,0.596902,1.846786,-0.2014485,-0.2392713,1.388781,0.04564247,-0.268825,1.600377,-0.3842907,0.4882331,1.504637,0.1173986,0.4431648,1.958625,-0.1151612,0.7101415,1.746193,-0.4062401,0.6326068,1.247102,0.394653,0.5053361,2.051051,-0.1985798,-0.6338766,1.223456,0.09045061,-0.62495,1.408188
-0.02962394,0.9008058,1.832178,-0.2065582,0.6251155,1.650359,0.07796715,0.5784294,1.911989,-0.1977696,-0.229301,1.398817,0.04226845,-0.2743752,1.591909,-0.385964,0.4762641,1.554862,0.1839303,0.4224312,1.961618,-0.09459122,0.704423,1.763587,-0.4362763,0.6273934,1.274646,0.4620668,0.5332935,2.028829,-0.1987637,-0.6325722,1.223868,0.09261557,-0.6400611,1.432563
-0.02044122,0.8995524,1.836342,-0.2050567,0.6241334,1.656936,0.07990165,0.583807,1.911287,-0.1952675,-0.2272763,1.405542,0.04397846,-0.2730379,1.590728,-0.3862064,0.4760334,1.561778,0.184286,0.4256611,1.958757,-0.08827604,0.7035409,1.76895,-0.4490844,0.6227387,1.293403,0.4866655,0.5412356,2.014013,-0.198572,-0.631978,1.223338,0.09110941,-0.6388577,1.430246
-0.002654516,0.8934318,1.845056,-0.1978279,0.6205658,1.677349,0.08804902,0.5927208,1.899104,-0.1913425,-0.225906,1.413372,0.04642249,-0.2736163,1.589824,-0.3881882,0.4680788,1.599551,0.2013806,0.4389698,1.941851,-0.07473926,0.6979894,1.778866,-0.4759079,0.6133397,1.331323,0.5149812,0.5431808,1.972854,-0.1984374,-0.6309907,1.222423,0.08313625,-0.6389601,1.423696
